solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
saga,none,False,0.595,69.441,False,9.313,97,auto,0.5036365052098872,,2019,0,True,,0.105
sag,none,False,0.45,10.173,False,4.939,104,auto,,,2019,0,True,,0.08
saga,none,False,0.224,59.07,False,6.348,100,ovr,,,2019,0,False,,0.105
sag,l2,False,0.676,66.292,False,7.71942444449204,102,multinomial,,,2019,0,False,,-0.015
saga,elasticnet,False,0.224,59.07,False,6.348,100,ovr,0.19935579046706298,,2019,0,False,,0.105
sag,none,False,0.335,36.022,True,7.454,104,auto,,,2019,0,False,,0.105
saga,elasticnet,False,0.282,29.027,False,1.685,96,auto,0.7315983062253606,,2019,0,True,,0.105
liblinear,l2,True,0.861,8.464149944809732,False,3.899,101,ovr,0.8383265651934163,,2019,0,False,,-0.029
sag,none,False,0.677,54.699,True,0.575,104,multinomial,0.9184820619953314,,2019,0,False,,0.013
saga,elasticnet,False,0.282,29.027,False,1.585,96,auto,0.6726405635730526,,2019,0,True,,0.105
sag,l2,False,0.898,31.49,False,3.588,104,auto,0.9665489030431832,,2019,0,False,,-0.125
liblinear,l2,False,0.596,90.331,True,2.004,98,ovr,0.05805094382649867,,2019,0,True,,0.147
saga,none,False,0.595,70.441,False,9.313,97,auto,0.8454245937016164,,2019,0,True,,0.105
saga,elasticnet,False,0.282,29.027,False,1.585,96,auto,0.25068733928511167,,2019,0,True,,0.105
saga,elasticnet,False,0.224,59.07,False,6.348,100,ovr,0.596791393469411,,2019,0,False,,0.105
saga,l1,False,0.595,70.441,False,9.313,97,auto,0.44231403369907896,,2019,0,True,,0.105
saga,l1,False,0.585,70.441,False,9.313,97,auto,0.17481948445144113,,2019,0,True,,0.105
liblinear,l2,False,0.9996656429695648,27.374,True,2.282,105,ovr,,,2019,0,False,,0.147
sag,l2,False,0.898,30.49,False,3.588,104,auto,0.47162541509628797,,2019,0,False,,-0.125
saga,l1,False,0.585,70.441,False,9.313,97,auto,0.40990539565755457,,2019,0,True,,0.105
liblinear,l2,True,0.861,8.464149944809732,True,3.899,101,ovr,0.5691127395242802,,2019,0,False,,-0.098
saga,elasticnet,False,0.214,59.07,False,6.348,100,ovr,0.5086001300626332,,2019,0,False,,0.105
liblinear,l2,True,0.861,8.464149944809732,True,3.899,101,ovr,0.3114460010002068,,2019,0,False,,-0.098
liblinear,l2,False,0.596,90.331,False,2.004,98,ovr,0.35715168259026286,,2019,0,True,,0.147
sag,l2,False,0.898,30.49,False,3.588,104,auto,,,2019,0,False,,-0.125
saga,none,False,0.585,70.441,False,9.313,97,auto,0.25093266482213705,,2019,0,True,,0.105
saga,elasticnet,False,0.861,8.464149944809732,True,3.899,101,multinomial,0.560600218853524,,2019,0,False,,0.119
saga,l1,False,0.583,32.596,True,3.94,100,ovr,0.012436318829314397,,2019,0,False,,0.104
newton-cg,none,False,0.346,59.855,False,9.844,96,auto,,,2019,0,False,,0.084
sag,l2,False,0.888,30.49,False,3.588,104,auto,,,2019,0,False,,-0.125
saga,none,False,0.585,70.441,False,9.313,98,auto,0.7415743774106636,,2019,0,True,,0.105
liblinear,l1,False,0.861,8.464149944809732,True,3.899,101,ovr,0.3359165544734606,,2019,0,False,,0.102
saga,elasticnet,False,0.282,29.027,False,1.585,105,auto,0.28088316421834825,,2019,0,True,,0.105
saga,elasticnet,False,0.214,59.07,False,6.348,100,auto,0.24013040782635398,,2019,0,False,,0.105
liblinear,l1,False,0.062,14.553,False,4.014,105,auto,0.9531293398277989,,2019,0,False,,0.082
saga,elasticnet,False,0.282,29.027,True,1.585,105,auto,0.35222556151550743,,2019,0,True,,0.104
sag,none,False,0.676,78.04852841018604,False,7.71942444449204,102,multinomial,,,2019,0,False,,-0.015
sag,l2,False,0.347,9.673,False,9.521,97,multinomial,0.35920119725374633,,2019,0,False,,0.112
saga,l1,False,0.583,31.596,True,3.94,100,ovr,0.6210768456186673,,2019,0,False,,0.104
saga,l1,False,0.583,31.596,False,3.94,100,ovr,0.7156193503014563,,2019,0,False,,0.105
