"","racesex","raceLSAT","raceUGPA","racefirst_pf","sexLSAT","sexUGPA","sex0","LSATUGPA","LSAT0","UGPA0","first_pfLSAT","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"70",0.084935291645949,0.78293547568186,0.0311385367347549,0.295099958754508,0.528527999701827,-0.0993482029065685,-0.28056957696369,0.0135747603908944,27.858836805126,2.45622800562824,4.17494777654479,0.159080864895442,0.385995738392686,12.7277975365677,3.56760389289053,-99656.8304669065
"71",0.0871974899265319,0.754939567869092,0.02248765280743,0.303526896012728,0.580401348600898,-0.100554825957283,-0.29401711346059,0.0133868032930063,27.9953794752266,2.36284449137534,4.16396862292557,0.297999104529874,0.325386258344475,12.5751304852635,3.54614304354231,-99660.9007522616
"72",0.0865363195714508,0.792105617106797,0.0289746909010114,0.277912644948991,0.630963053256063,-0.179737205521266,-0.297828833163815,0.0180717914980821,27.652007789293,2.49956072621059,4.24984018836878,-0.0317982574271601,0.42691162773165,12.8346115883104,3.58254261500271,-99658.4889694669
"73",0.0932628238963802,0.76096132435249,0.023784468769801,0.295630963524657,0.565177056579999,-0.0558982599626265,-0.302459410863585,0.0150864505601804,27.9121267978324,2.33276482431037,4.25426098011119,0.235221404471357,0.342726261985205,12.6399432412324,3.55526978459193,-99659.2495141281
"74",0.084963622104611,0.775128230354573,0.0261086676552453,0.290332041312356,0.550102108355111,-0.0926284201915413,-0.2848279147826,0.0183063292789847,27.8899488996832,2.2153263627119,4.17772609346552,0.202145195784237,0.370580495345612,12.6831495694838,3.56134097910938,-99656.589733141
"75",0.101025477798201,0.772085047827479,0.0220836602242349,0.294063774950159,0.539780043957323,-0.0885987323956908,-0.386561033373019,0.0201506421523465,27.9378475596552,2.34406308947258,4.13308163742221,0.124741837973053,0.356546865414263,12.4821543057115,3.53300924223409,-99663.2648529133
"76",0.0889929994435781,0.782188542175455,0.0248181784568212,0.278084495363843,0.544312149394965,-0.0943645443741128,-0.307586813037375,0.0138497830989467,27.8171388077693,2.3860277756999,4.19609104241162,0.221755257722522,0.419907987852814,12.9341963620662,3.59641437574513,-99659.2869669223
"77",0.089542212300641,0.791670501712782,0.0202640340748811,0.289967581345395,0.609146939180895,-0.154338406743235,-0.29863303799045,0.022972013126161,27.7198046198462,2.37011345616078,4.24379212844699,0.0101247985589656,0.371819685531591,12.5072463699349,3.53655854891941,-99660.8382552864
"78",0.0960223403290753,0.776077955005665,0.00846901263177579,0.27886918032403,0.590953442855281,-0.155814432547531,-0.35811113207825,0.0191410736051036,27.6760103975144,2.38489771973941,4.33430025944215,0.185890792349074,0.440531069595389,12.6912397911259,3.5624766372744,-99656.3264289016
"79",0.103504219815253,0.776813416850131,0.0319752679696956,0.293303712166107,0.604693018483176,-0.186455882470325,-0.396950609212585,0.0121043314625308,27.7582849939461,2.45803625672648,4.29955220302191,0.250802801373557,0.34809843695553,12.643625546958,3.55578761274601,-99657.7398431894
"80",0.0797576831565768,0.768321622918819,0.0167476850728269,0.284668281748956,0.609218527327555,0.0478782360419664,-0.26321315916616,0.020135940790547,27.9493349127154,2.29263965302337,4.08756171859654,0.0790437295986026,0.401437645226593,12.7675445430989,3.57317009714048,-99664.884875034
"81",0.0883689799064094,0.764586283603025,0.0257459200404331,0.295012476398147,0.592819050580609,-0.207993238757092,-0.289069571701703,0.00964774312299293,27.9010098371653,2.66600436166672,4.22034607148829,0.228504794461567,0.371966306504032,12.656909323592,3.5576550315611,-99659.4014841764
"82",0.0944797560820646,0.760413128831631,0.0259897890381665,0.275778066082106,0.571356499843959,-0.0439773780194638,-0.360286094535491,0.0166400616978335,27.8967257949033,2.37221565925146,4.22643857286072,0.0567794637217233,0.436539161972064,12.7431630212221,3.56975671737194,-99660.8037456672
"83",0.0825374189630426,0.768299731830248,0.0134094815474209,0.279329919901004,0.577931375719952,-0.115922828596975,-0.249326443784066,0.0187154542392177,27.8244545133024,2.39455194713621,4.29401136154438,0.207198421855949,0.427005354051311,12.7860760782409,3.5757623072907,-99659.3021212049
"84",0.100998599395898,0.79749083738421,0.0403254529720646,0.295647356926002,0.590688037273302,-0.165421514017265,-0.369441932022344,0.017100088118927,27.7448169951198,2.34287671153917,4.15278956147663,0.0655562141189035,0.35819502601822,12.6571673883354,3.55769130031478,-99658.4929479705
