solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l1,False,0.872,82.584,True,4.6173942657908755,103,ovr,0.9559582999612316,,2019,0,False,,-0.038
newton-cg,l2,False,0.978,23.32,False,4.323,97,ovr,,,2019,0,False,,0.014
liblinear,l2,True,0.01,37.556553135433774,False,1.1,96,ovr,,,2019,0,True,,-0.007
liblinear,l1,False,0.01,37.556553135433774,False,1.1,96,ovr,,,2019,0,True,,0.012
liblinear,l1,False,0.872,82.584,True,4.6173942657908755,103,ovr,0.3024972523540478,,2019,0,False,,-0.038
liblinear,l1,False,0.872,82.584,True,4.6173942657908755,103,ovr,0.4789574421818128,,2019,0,False,,-0.038
liblinear,l1,False,0.872,82.584,True,0.059037746730692925,103,ovr,0.7670433639972682,,2019,0,False,,-0.038
liblinear,l1,False,0.872,82.584,True,0.059037746730692925,102,ovr,0.05278617812882702,,2019,0,False,,-0.038
liblinear,l1,False,0.01,36.557,False,1.1,96,ovr,,,2019,0,True,,0.012
sag,l2,False,0.872,75.30180835231508,True,0.059037746730692925,102,ovr,0.1381861852172147,,2019,0,False,,-0.041
liblinear,l1,False,0.872,75.30180835231508,True,0.059037746730692925,102,ovr,0.5597430179533858,,2019,0,False,,-0.038
liblinear,l1,False,0.01,36.557,True,1.1,96,ovr,,,2019,0,True,,0.015
liblinear,l1,False,0.872,75.30180835231508,True,0.059037746730692925,101,ovr,0.008857617392675654,,2019,0,False,,-0.038
liblinear,l1,False,0.33823237978517723,36.557,True,1.1,96,ovr,,,2019,0,True,,-0.02
liblinear,l1,False,0.872,75.30180835231508,True,0.059037746730692925,101,ovr,0.9271964967873376,,2019,0,False,,-0.038
liblinear,l1,False,0.33823237978517723,36.557,True,6.933783293386882,96,ovr,,,2019,0,True,,-0.031
liblinear,l1,False,0.872,75.30180835231508,False,0.059037746730692925,101,ovr,0.5865063671423612,,2019,0,False,,-0.044
liblinear,l1,False,0.33823237978517723,36.557,True,6.933783293386882,96,ovr,,,2019,0,False,,-0.031
liblinear,l1,False,0.872,75.30180835231508,False,0.059037746730692925,101,ovr,,,2019,0,False,,-0.044
liblinear,l2,True,0.33823237978517723,36.557,True,6.933783293386882,96,ovr,,,2019,0,False,,-0.005
liblinear,l2,True,0.33823237978517723,36.557,False,6.933783293386882,96,ovr,,,2019,0,False,,-0.006
lbfgs,none,False,0.606,11.315,False,0.517,101,multinomial,0.013408744785074145,,2019,0,True,,0.014
liblinear,l2,False,0.33823237978517723,36.557,False,6.933783293386882,96,ovr,,,2019,0,False,,-0.024
liblinear,l2,False,0.03148164117998668,36.557,False,6.933783293386882,96,ovr,,,2019,0,False,,0.013
liblinear,l2,False,0.03148164117998668,36.557,False,6.834,96,ovr,,,2019,0,False,,0.013
liblinear,l2,True,0.03148164117998668,36.557,False,6.834,96,ovr,,,2019,0,False,,-0.006
lbfgs,none,False,0.856,17.442,True,6.448,95,auto,,,2019,0,True,,0.018
lbfgs,l2,False,0.856,17.442,True,6.448,95,multinomial,,,2019,0,True,,0.019
lbfgs,l2,False,0.856,17.442,False,6.448,95,multinomial,,,2019,0,True,,0.014
liblinear,l2,True,0.03148164117998668,36.557,False,6.934,96,ovr,,,2019,0,False,,-0.006
lbfgs,l2,False,0.856,17.442,False,6.448,95,multinomial,0.9593914929550338,,2019,0,True,,0.014
liblinear,l2,False,0.03148164117998668,36.557,False,6.934,96,ovr,,,2019,0,False,,0.013
lbfgs,l2,False,0.856,17.442,False,6.448,95,multinomial,0.0477434304687836,,2019,0,True,,0.014
liblinear,l1,False,0.03148164117998668,36.557,False,6.934,96,ovr,,,2019,0,False,,0.012
lbfgs,l2,False,0.856,17.442,False,6.448,95,multinomial,0.4730886479141503,,2019,0,True,,0.014
lbfgs,none,False,0.856,17.442,False,6.548,95,multinomial,0.17888449148163432,,2019,0,True,,0.013
lbfgs,l2,False,0.856,17.442,False,6.548,95,multinomial,0.09263289421632392,,2019,0,True,,0.014
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,6.008,96,ovr,0.9672445649280765,,2019,0,True,,-0.03
lbfgs,none,False,0.856,17.442,False,6.548,96,multinomial,0.0741596924042871,,2019,0,True,,0.013
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,6.008,96,ovr,0.7031837045728336,,2019,0,True,,-0.03
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,6.008,95,ovr,0.07434341741835648,,2019,0,True,,-0.03
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,6.008,95,ovr,0.18628832697646325,,2019,0,True,,-0.03
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,6.008,97,ovr,0.3230150159729184,,2019,0,True,,-0.03
liblinear,l1,False,0.24384872748191685,59.33585409152254,False,6.008,97,ovr,0.6926455096087829,,2019,0,True,,-0.019
lbfgs,none,False,0.856,16.442,False,6.548,96,multinomial,0.34226917108871946,,2019,0,True,,0.013
lbfgs,none,False,0.856,16.442,True,6.548,96,multinomial,0.4777943770280455,,2019,0,True,,0.018
liblinear,l1,False,0.24384872748191685,59.33585409152254,False,2.2254967934458376,97,ovr,0.14527560728663824,,2019,0,True,,-0.019
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.7599715067699384,,2019,0,True,,-0.032
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.7119425723429729,,2019,0,True,,-0.032
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.38024321132952854,,2019,0,True,,-0.032
liblinear,l1,False,0.03148164117998668,36.557,False,6.934,95,ovr,,,2019,0,False,,0.012
lbfgs,none,False,0.856,16.442,True,6.548,96,multinomial,0.45944819887816135,,2019,0,True,,0.018
lbfgs,l2,False,0.856,16.442,True,6.548,96,multinomial,0.09198075448869691,,2019,0,True,,0.018
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.2318419661775184,,2019,0,True,,-0.032
saga,elasticnet,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,multinomial,0.24166933147995373,,2019,0,True,,-0.034
lbfgs,none,False,0.856,16.442,True,6.548,96,multinomial,0.4949070694741686,,2019,0,True,,0.018
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.24920338069379222,,2019,0,True,,-0.032
liblinear,l1,False,0.03148164117998668,36.557,True,6.934,95,ovr,,,2019,0,False,,0.009
liblinear,l1,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,ovr,0.3722609951313809,,2019,0,True,,-0.032
sag,none,False,0.24384872748191685,59.33585409152254,True,2.2254967934458376,97,multinomial,0.7739672307388864,,2019,0,True,,-0.018
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,multinomial,0.2100759093305481,,2019,0,True,,-0.018
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,multinomial,0.5918019676918961,,2019,0,True,,-0.018
liblinear,l1,False,0.03148164117998668,36.557,True,9.213970156028365,95,ovr,,,2019,0,False,,0.009
lbfgs,none,False,0.856,16.442,True,6.548,96,multinomial,,,2019,0,True,,0.018
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,multinomial,0.4912152492505709,,2019,0,True,,-0.018
liblinear,l1,False,0.03148164117998668,30.182906550370994,True,9.213970156028365,95,ovr,,,2019,0,False,,0.009
sag,none,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,multinomial,0.17107525766515164,,2019,0,False,,-0.018
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,multinomial,0.5235551120814259,,2019,0,False,,-0.018
sag,none,False,0.268,40.144,True,6.874,104,multinomial,0.7332113062201101,,2019,0,False,,-0.02
liblinear,l1,False,0.03148164117998668,2.2859184116546056,True,9.213970156028365,95,ovr,,,2019,0,False,,0.009
lbfgs,none,False,0.856,16.442,True,6.548,96,ovr,,,2019,0,True,,0.018
liblinear,l1,False,0.03148164117998668,2.2859184116546056,False,9.213970156028365,95,ovr,,,2019,0,False,,0.012
liblinear,l1,False,0.03148164117998668,2.2859184116546056,False,9.213970156028365,95,ovr,0.5581548782236766,,2019,0,False,,0.012
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,auto,0.11444658499636562,,2019,0,False,,-0.026
liblinear,l1,False,0.03148164117998668,2.2859184116546056,False,9.213970156028365,95,ovr,0.8670341778181347,,2019,0,False,,0.012
lbfgs,none,False,0.598,8.546,True,4.966,100,multinomial,0.8326434324113373,,2019,0,False,,0.018
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,auto,0.8032220040105449,,2019,0,True,,-0.026
