solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l1,False,0.953,1.8111092635935753,False,2.625,103,ovr,0.5086001300626332,,2019,0,False,,-0.053
sag,none,False,0.953,1.8111092635935753,False,2.625,103,multinomial,0.3114460010002068,,2019,0,False,,-0.014
sag,none,False,0.5169249265007486,1.326,True,0.9909853258710938,99,multinomial,0.560600218853524,,2019,0,True,,-0.003
newton-cg,l2,False,0.594,88.321,True,0.522,101,ovr,,,2019,0,False,,0.022
sag,none,False,0.5169249265007486,1.326,True,0.9909853258710938,99,multinomial,0.3359165544734606,,2019,0,True,,-0.003
sag,none,False,0.953,1.8111092635935753,False,2.625,103,multinomial,0.28088316421834825,,2019,0,False,,-0.014
sag,none,False,0.8997957245632937,1.8111092635935753,False,2.625,103,multinomial,0.9531293398277989,,2019,0,False,,-0.014
liblinear,l2,True,0.356,24.37858388964373,True,9.007,95,ovr,,,2019,0,True,,-0.002
sag,l2,False,0.5169249265007486,1.326,True,0.9909853258710938,99,multinomial,0.35920119725374633,,2019,0,True,,-0.003
liblinear,l2,True,0.356,24.37858388964373,False,9.007,95,ovr,,,2019,0,True,,-0.007
sag,l2,False,0.8997957245632937,1.8111092635935753,False,2.625,101,multinomial,0.6337478522492526,,2019,0,False,,-0.014
newton-cg,none,False,0.764,94.649,True,5.587,103,multinomial,0.7156193503014563,,2019,0,False,,0.022
saga,l2,False,0.433,38.356,False,7.389,101,multinomial,0.1923095412446758,,2019,0,False,,-0.03
sag,l2,False,0.356,24.37858388964373,False,9.007,95,multinomial,,,2019,0,True,,-0.014
sag,l2,False,0.356,24.37858388964373,False,9.107,95,multinomial,,,2019,0,True,,-0.014
liblinear,l2,True,0.685,7.901,False,3.928,96,ovr,0.3344016906625016,,2019,0,False,,0.048
sag,none,False,0.91,1.8111092635935753,False,2.625,101,multinomial,0.5681514209101919,,2019,0,False,,-0.014
sag,l2,False,0.91,1.8111092635935753,False,2.625,101,multinomial,0.40226707511907955,,2019,0,False,,-0.014
sag,none,False,0.91,1.8111092635935753,True,2.625,101,multinomial,0.5275731301676146,,2019,0,False,,-0.003
saga,l2,False,0.356,24.37858388964373,False,9.107,95,multinomial,,,2019,0,True,,-0.03
liblinear,l1,False,0.5169249265007486,28.776163389885227,False,0.9909853258710938,99,ovr,0.31205824641687296,,2019,0,True,,-0.053
saga,l2,False,0.356,24.37858388964373,False,9.107,95,multinomial,0.46689223535252355,,2019,0,True,,-0.03
saga,l2,False,0.356,24.37858388964373,False,9.107,95,multinomial,0.8090458573603624,,2019,0,True,,-0.03
liblinear,l1,False,0.5169249265007486,28.776163389885227,False,0.9909853258710938,99,ovr,0.8750163314802711,,2019,0,False,,-0.053
liblinear,l1,False,0.5169249265007486,28.776163389885227,True,0.9909853258710938,99,ovr,0.8124149323637591,,2019,0,False,,-0.046
saga,l2,False,0.356,24.37858388964373,False,9.107,95,multinomial,0.08346705017572931,,2019,0,True,,-0.03
liblinear,l1,False,0.5169249265007486,28.776163389885227,True,0.9909853258710938,99,ovr,0.9868214802051282,,2019,0,False,,-0.046
sag,l2,False,0.91,1.8111092635935753,True,2.625,101,multinomial,0.40181682221254356,,2019,0,True,,-0.003
sag,l2,False,0.016,21.878,False,6.688,98,auto,,,2019,0,False,,0.005
sag,none,False,0.91,1.8111092635935753,True,2.625,101,multinomial,,,2019,0,True,,-0.003
liblinear,l1,False,0.5169249265007486,28.776163389885227,False,0.9909853258710938,99,ovr,0.2135246620646961,,2019,0,False,,-0.053
liblinear,l1,False,0.30893671939328504,28.776163389885227,False,0.9909853258710938,99,ovr,0.7173241433110372,,2019,0,False,,-0.026
liblinear,l1,False,0.09981908903541106,28.776163389885227,False,0.9909853258710938,99,ovr,0.8227314105314157,,2019,0,False,,-0.002
saga,l2,False,0.356,24.37858388964373,True,9.107,95,multinomial,0.5283459768597928,,2019,0,True,,-0.025
sag,none,False,0.91,1.8111092635935753,True,2.625,102,multinomial,,,2019,0,True,,-0.003
liblinear,l1,False,0.09981908903541106,28.776163389885227,False,0.9909853258710938,99,auto,0.6492654248961536,,2019,0,False,,-0.002
saga,l2,False,0.356,24.37858388964373,True,7.487809394232383,95,multinomial,0.8736538239003423,,2019,0,True,,-0.025
saga,l2,False,0.356,24.37858388964373,True,7.487809394232383,95,multinomial,0.27998274332687256,,2019,0,True,,-0.025
saga,l2,False,0.356,23.379,True,7.487809394232383,95,multinomial,0.10018068906370903,,2019,0,True,,-0.025
sag,l2,False,0.91,1.8111092635935753,True,2.625,101,multinomial,,,2019,0,True,,-0.003
saga,elasticnet,False,0.356,23.379,True,7.487809394232383,95,multinomial,0.39669617733090445,,2019,0,True,,-0.025
saga,elasticnet,False,0.356,5.875317612523091,True,7.487809394232383,95,multinomial,0.4529781848179143,,2019,0,True,,-0.025
saga,elasticnet,False,0.356,5.875317612523091,True,0.13675380632517772,95,multinomial,0.7923415311856522,,2019,0,True,,-0.025
liblinear,l1,False,0.09981908903541106,28.776163389885227,False,0.9909853258710938,99,auto,0.8613599036372361,,2019,0,False,,-0.002
liblinear,l1,False,0.09981908903541106,28.776163389885227,False,0.9909853258710938,99,auto,0.13342055420254906,,2019,0,False,,-0.002
liblinear,l1,False,0.11,28.776163389885227,False,0.9909853258710938,99,auto,0.5208655284141989,,2019,0,False,,-0.002
liblinear,l1,False,0.91,1.8111092635935753,True,2.625,101,ovr,,,2019,0,True,,-0.046
liblinear,l1,False,0.9,1.8111092635935753,True,2.625,101,ovr,,,2019,0,True,,-0.046
saga,elasticnet,False,0.356,5.875317612523091,True,0.13675380632517772,95,multinomial,0.6507832381497373,,2019,0,True,,-0.025
saga,elasticnet,False,0.356,5.875317612523091,True,0.13675380632517772,95,multinomial,0.3470530145996015,,2019,0,True,,-0.025
sag,l2,False,0.9,1.8111092635935753,True,2.625,101,multinomial,,,2019,0,True,,-0.003
saga,elasticnet,False,0.356,5.875317612523091,True,0.13675380632517772,95,multinomial,0.27840981521636055,,2019,0,True,,-0.025
